Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1131.21M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_stone.001
Fra:1 Mem:1134.50M (Peak 2418.40M) | Time:00:05.55 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_paving.001
Fra:1 Mem:1134.90M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_clay.001
Fra:1 Mem:1135.09M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_wood.001
Fra:1 Mem:1135.24M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_screen.001
Fra:1 Mem:1135.86M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_thatch.001
Fra:1 Mem:1136.46M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_lightleaf.001
Fra:1 Mem:1136.60M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_flower.001
Fra:1 Mem:1136.63M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_creamflower.001
Fra:1 Mem:1142.34M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_wood.001
Fra:1 Mem:1149.93M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_stone.001
Fra:1 Mem:1150.76M (Peak 2418.40M) | Time:00:05.56 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ouxiangxie_screen
