
> daguanyuan-rumeng@1.0.0 models:views
> node scripts/pipeline.mjs model-views

Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\澶ц鍥璡blender\daguanyuan_master.blend"
Fra:1 Mem:1755.06M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_ink.001
Fra:1 Mem:1755.74M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_ceramic.001
Fra:1 Mem:1755.62M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_bookcover.001
Fra:1 Mem:1755.67M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_gold
Fra:1 Mem:1755.55M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_silk.001
Fra:1 Mem:1756.45M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_lantern
Fra:1 Mem:1756.45M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_bamboo.001
Fra:1 Mem:1756.47M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_leafdark.001
Fra:1 Mem:1756.58M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_creamflower.001
Fra:1 Mem:1756.78M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_moss.001
Fra:1 Mem:1756.93M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_bark.001
Fra:1 Mem:1760.04M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_leaf.001
Fra:1 Mem:1762.42M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_botanical_stem
Fra:1 Mem:1762.31M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_botanical_bamboo.001
Fra:1 Mem:1763.66M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | qiushuangzhai_focal_botanical_litter.001
Fra:1 Mem:1765.03M (Peak 1874.79M) | Time:00:01.27 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | daoxiangcun_stone.001
